日期,活动名,玩家,桌号,胜负,时长
2026-01-06,新手教学日,玩家024,1,负,101
2026-01-06,新手教学日,玩家028,1,胜,101
2026-01-06,新手教学日,玩家009,1,负,101
2026-01-06,新手教学日,玩家003,1,平,101
2026-01-06,新手教学日,玩家020,1,胜,101
2026-01-06,新手教学日,玩家048,1,胜,101
2026-01-06,新手教学日,玩家003,3,胜,53
2026-01-06,新手教学日,玩家048,3,胜,53
2026-01-06,新手教学日,玩家028,3,平,53
2026-01-06,新手教学日,玩家014,3,胜,53
2026-01-06,新手教学日,玩家020,3,负,53
2026-01-06,新手教学日,玩家023,3,负,53
2026-01-06,新手教学日,玩家028,1,负,41
2026-01-06,新手教学日,玩家020,1,负,41
2026-01-06,新手教学日,玩家023,1,负,41
2026-01-06,新手教学日,玩家048,1,负,41
2026-01-07,深夜桌游局,玩家016,4,胜,29
2026-01-07,深夜桌游局,玩家050,4,负,29
2026-01-07,深夜桌游局,玩家027,4,胜,29
2026-01-07,深夜桌游局,玩家018,4,负,29
2026-01-07,深夜桌游局,玩家027,3,平,40
2026-01-07,深夜桌游局,玩家049,3,胜,40
2026-01-07,深夜桌游局,玩家018,3,平,40
2026-01-07,深夜桌游局,玩家050,3,胜,40
2026-01-07,深夜桌游局,玩家016,3,负,32
2026-01-07,深夜桌游局,玩家012,3,胜,32
2026-01-07,深夜桌游局,玩家050,3,胜,32
2026-01-07,深夜桌游局,玩家049,3,负,32
2026-01-07,深夜桌游局,玩家027,3,平,32
2026-01-07,深夜桌游局,玩家043,3,平,32
2026-01-07,深夜桌游局,玩家018,3,平,32
2026-01-07,深夜桌游局,玩家002,3,平,32
2026-01-07,深夜桌游局,玩家022,5,平,93
2026-01-07,深夜桌游局,玩家018,5,负,93
2026-01-07,深夜桌游局,玩家027,5,胜,93
2026-01-07,深夜桌游局,玩家012,5,胜,93
2026-01-07,深夜桌游局,玩家049,5,负,93
2026-01-07,深夜桌游局,玩家050,5,胜,93
2026-01-07,深夜桌游局,玩家022,4,胜,23
2026-01-07,深夜桌游局,玩家016,4,胜,23
2026-01-07,深夜桌游局,玩家027,4,平,23
2026-01-07,深夜桌游局,玩家012,4,负,23
2026-01-07,深夜桌游局,玩家027,1,胜,53
2026-01-07,深夜桌游局,玩家022,1,平,53
2026-01-07,深夜桌游局,玩家043,1,平,53
2026-01-07,深夜桌游局,玩家050,1,负,53
2026-01-07,深夜桌游局,玩家049,1,胜,53
2026-01-07,深夜桌游局,玩家016,1,负,53
2026-01-07,深夜桌游局,玩家002,1,负,53
2026-01-08,深夜桌游局,玩家015,2,平,54
2026-01-08,深夜桌游局,玩家013,2,胜,54
2026-01-08,深夜桌游局,玩家018,2,胜,54
2026-01-08,深夜桌游局,玩家023,2,平,54
2026-01-08,深夜桌游局,玩家033,2,平,54
2026-01-08,深夜桌游局,玩家043,2,胜,54
2026-01-08,深夜桌游局,玩家022,2,胜,54
2026-01-08,深夜桌游局,玩家022,3,平,73
2026-01-08,深夜桌游局,玩家047,3,平,73
2026-01-08,深夜桌游局,玩家043,3,负,73
2026-01-08,深夜桌游局,玩家005,3,平,73
2026-01-08,深夜桌游局,玩家015,3,胜,73
2026-01-08,深夜桌游局,玩家045,3,负,73
2026-01-08,深夜桌游局,玩家018,3,负,73
2026-01-08,深夜桌游局,玩家013,3,胜,73
2026-01-08,深夜桌游局,玩家005,4,平,106
2026-01-08,深夜桌游局,玩家047,4,胜,106
2026-01-08,深夜桌游局,玩家045,4,胜,106
2026-01-08,深夜桌游局,玩家033,4,负,106
2026-01-08,深夜桌游局,玩家043,2,平,30
2026-01-08,深夜桌游局,玩家045,2,负,30
2026-01-08,深夜桌游局,玩家002,2,胜,30
2026-01-08,深夜桌游局,玩家015,2,平,30
2026-01-08,深夜桌游局,玩家022,2,胜,30
2026-01-09,深夜桌游局,玩家034,3,平,70
2026-01-09,深夜桌游局,玩家035,3,负,70
2026-01-09,深夜桌游局,玩家039,3,负,70
2026-01-09,深夜桌游局,玩家044,3,平,70
2026-01-09,深夜桌游局,玩家013,3,负,70
2026-01-09,深夜桌游局,玩家003,3,胜,70
2026-01-09,深夜桌游局,玩家003,5,平,95
2026-01-09,深夜桌游局,玩家035,5,胜,95
2026-01-09,深夜桌游局,玩家013,5,胜,95
2026-01-09,深夜桌游局,玩家039,5,平,95
2026-01-09,深夜桌游局,玩家034,5,胜,95
2026-01-09,深夜桌游局,玩家033,5,负,95
2026-01-09,深夜桌游局,玩家044,5,平,95
2026-01-09,深夜桌游局,玩家025,5,负,95
2026-01-09,深夜桌游局,玩家013,4,胜,24
2026-01-09,深夜桌游局,玩家001,4,负,24
2026-01-09,深夜桌游局,玩家017,4,负,24
2026-01-09,深夜桌游局,玩家050,4,胜,24
2026-01-09,深夜桌游局,玩家035,4,平,24
2026-01-09,深夜桌游局,玩家034,4,平,24
2026-01-09,深夜桌游局,玩家013,4,平,26
2026-01-09,深夜桌游局,玩家037,4,负,26
2026-01-09,深夜桌游局,玩家034,4,负,26
2026-01-09,深夜桌游局,玩家008,4,负,26
2026-01-09,深夜桌游局,玩家044,1,平,109
2026-01-09,深夜桌游局,玩家035,1,胜,109
2026-01-09,深夜桌游局,玩家025,1,胜,109
2026-01-09,深夜桌游局,玩家034,1,胜,109
2026-01-09,深夜桌游局,玩家001,1,负,109
2026-01-09,深夜桌游局,玩家017,1,平,109
2026-01-09,深夜桌游局,玩家025,4,胜,76
2026-01-09,深夜桌游局,玩家034,4,负,76
2026-01-09,深夜桌游局,玩家013,4,平,76
2026-01-09,深夜桌游局,玩家050,4,负,76
2026-01-09,深夜桌游局,玩家039,4,平,76
2026-01-09,深夜桌游局,玩家008,4,负,76
2026-01-10,新手教学日,玩家027,5,平,37
2026-01-10,新手教学日,玩家043,5,平,37
2026-01-10,新手教学日,玩家012,5,胜,37
2026-01-10,新手教学日,玩家044,5,胜,37
2026-01-10,新手教学日,玩家025,5,胜,37
2026-01-10,新手教学日,玩家025,2,平,66
2026-01-10,新手教学日,玩家013,2,胜,66
2026-01-10,新手教学日,玩家037,2,负,66
2026-01-10,新手教学日,玩家040,2,负,66
2026-01-10,家庭桌游日,玩家045,5,负,96
2026-01-10,家庭桌游日,玩家029,5,胜,96
2026-01-10,家庭桌游日,玩家016,5,负,96
2026-01-10,家庭桌游日,玩家030,5,平,96
2026-01-10,家庭桌游日,玩家044,5,平,96
2026-01-10,家庭桌游日,玩家033,5,负,96
2026-01-10,家庭桌游日,玩家011,5,负,96
2026-01-10,家庭桌游日,玩家022,2,胜,26
2026-01-10,家庭桌游日,玩家016,2,平,26
2026-01-10,家庭桌游日,玩家029,2,胜,26
2026-01-10,家庭桌游日,玩家014,2,胜,26
2026-01-10,家庭桌游日,玩家030,2,平,26
2026-01-10,家庭桌游日,玩家031,2,胜,26
2026-01-10,家庭桌游日,玩家045,2,平,36
2026-01-10,家庭桌游日,玩家031,2,胜,36
2026-01-10,家庭桌游日,玩家006,2,平,36
2026-01-10,家庭桌游日,玩家030,2,胜,36
2026-01-10,家庭桌游日,玩家016,2,胜,36
2026-01-10,家庭桌游日,玩家011,2,负,36
2026-01-10,家庭桌游日,玩家022,5,负,64
2026-01-10,家庭桌游日,玩家016,5,负,64
2026-01-10,家庭桌游日,玩家045,5,胜,64
2026-01-10,家庭桌游日,玩家014,5,负,64
2026-01-10,家庭桌游日,玩家031,5,负,64
2026-01-10,家庭桌游日,玩家019,5,平,64
2026-01-10,家庭桌游日,玩家031,5,胜,107
2026-01-10,家庭桌游日,玩家019,5,负,107
2026-01-10,家庭桌游日,玩家029,5,胜,107
2026-01-10,家庭桌游日,玩家030,5,负,107
2026-01-10,家庭桌游日,玩家006,5,负,107
2026-01-10,家庭桌游日,玩家033,5,平,107
2026-01-10,家庭桌游日,玩家014,5,负,107
2026-01-10,家庭桌游日,玩家049,5,负,107
2026-01-11,狼人杀之夜,玩家042,3,负,96
2026-01-11,狼人杀之夜,玩家028,3,平,96
2026-01-11,狼人杀之夜,玩家030,3,负,96
2026-01-11,狼人杀之夜,玩家010,3,平,96
2026-01-11,狼人杀之夜,玩家032,3,胜,96
2026-01-11,狼人杀之夜,玩家015,1,平,110
2026-01-11,狼人杀之夜,玩家042,1,胜,110
2026-01-11,狼人杀之夜,玩家001,1,负,110
2026-01-11,狼人杀之夜,玩家004,1,平,110
2026-01-11,狼人杀之夜,玩家030,1,平,110
2026-01-11,狼人杀之夜,玩家032,1,胜,110
2026-01-11,狼人杀之夜,玩家048,1,平,110
2026-01-11,狼人杀之夜,玩家034,5,胜,57
2026-01-11,狼人杀之夜,玩家028,5,负,57
2026-01-11,狼人杀之夜,玩家042,5,胜,57
2026-01-11,狼人杀之夜,玩家016,5,平,57
2026-01-11,狼人杀之夜,玩家012,5,负,57
2026-01-11,狼人杀之夜,玩家036,5,平,57
2026-01-11,狼人杀之夜,玩家030,5,平,57
2026-01-11,狼人杀之夜,玩家016,2,负,73
2026-01-11,狼人杀之夜,玩家010,2,负,73
2026-01-11,狼人杀之夜,玩家045,2,负,73
2026-01-11,狼人杀之夜,玩家036,2,平,73
2026-01-11,狼人杀之夜,玩家034,2,负,73
2026-01-11,狼人杀之夜,玩家042,2,负,73
2026-01-11,桌游嘉年华,玩家016,4,平,35
2026-01-11,桌游嘉年华,玩家022,4,负,35
2026-01-11,桌游嘉年华,玩家032,4,平,35
2026-01-11,桌游嘉年华,玩家048,4,负,35
2026-01-11,桌游嘉年华,玩家018,4,平,72
2026-01-11,桌游嘉年华,玩家006,4,负,72
2026-01-11,桌游嘉年华,玩家032,4,胜,72
2026-01-11,桌游嘉年华,玩家034,4,负,72
2026-01-12,策略桌游会,玩家025,1,胜,101
2026-01-12,策略桌游会,玩家031,1,胜,101
2026-01-12,策略桌游会,玩家049,1,负,101
2026-01-12,策略桌游会,玩家037,1,负,101
2026-01-12,策略桌游会,玩家037,2,负,98
2026-01-12,策略桌游会,玩家031,2,平,98
2026-01-12,策略桌游会,玩家049,2,负,98
2026-01-12,策略桌游会,玩家025,2,负,98
2026-01-12,策略桌游会,玩家031,4,负,113
2026-01-12,策略桌游会,玩家049,4,胜,113
2026-01-12,策略桌游会,玩家025,4,负,113
2026-01-12,策略桌游会,玩家037,4,平,113
2026-01-12,周末欢乐局,玩家045,1,胜,59
2026-01-12,周末欢乐局,玩家030,1,胜,59
2026-01-12,周末欢乐局,玩家002,1,负,59
2026-01-12,周末欢乐局,玩家015,1,平,59
2026-01-12,周末欢乐局,玩家015,5,平,78
2026-01-12,周末欢乐局,玩家049,5,平,78
2026-01-12,周末欢乐局,玩家022,5,平,78
2026-01-12,周末欢乐局,玩家035,5,平,78
2026-01-12,周末欢乐局,玩家039,5,负,78
2026-01-12,周末欢乐局,玩家025,5,负,78
2026-01-12,周末欢乐局,玩家011,2,胜,22
2026-01-12,周末欢乐局,玩家002,2,胜,22
2026-01-12,周末欢乐局,玩家025,2,平,22
2026-01-12,周末欢乐局,玩家050,2,胜,22
2026-01-12,周末欢乐局,玩家049,2,胜,22
2026-01-12,周末欢乐局,玩家032,2,平,22
2026-01-13,新手教学日,玩家022,5,平,52
2026-01-13,新手教学日,玩家021,5,平,52
2026-01-13,新手教学日,玩家027,5,胜,52
2026-01-13,新手教学日,玩家006,5,平,52
2026-01-13,新手教学日,玩家017,5,胜,52
2026-01-13,新手教学日,玩家030,5,平,52
2026-01-13,新手教学日,玩家025,5,胜,52
2026-01-13,新手教学日,玩家002,5,平,52
2026-01-13,新手教学日,玩家021,1,平,35
2026-01-13,新手教学日,玩家017,1,负,35
2026-01-13,新手教学日,玩家006,1,负,35
2026-01-13,新手教学日,玩家025,1,平,35
2026-01-14,三国杀争霸,玩家008,2,平,104
2026-01-14,三国杀争霸,玩家043,2,负,104
2026-01-14,三国杀争霸,玩家037,2,平,104
2026-01-14,三国杀争霸,玩家016,2,平,104
2026-01-14,三国杀争霸,玩家009,2,胜,120
2026-01-14,三国杀争霸,玩家008,2,负,120
2026-01-14,三国杀争霸,玩家037,2,胜,120
2026-01-14,三国杀争霸,玩家014,2,平,120
2026-01-14,三国杀争霸,玩家016,2,胜,120
2026-01-14,三国杀争霸,玩家030,2,负,120
2026-01-14,三国杀争霸,玩家043,2,平,120
2026-01-14,三国杀争霸,玩家014,2,负,108
2026-01-14,三国杀争霸,玩家031,2,负,108
2026-01-14,三国杀争霸,玩家009,2,胜,108
2026-01-14,三国杀争霸,玩家016,2,胜,108
2026-01-14,三国杀争霸,玩家043,2,胜,108
2026-01-14,三国杀争霸,玩家008,2,平,108
2026-01-14,节日特别场,玩家025,1,平,52
2026-01-14,节日特别场,玩家037,1,胜,52
2026-01-14,节日特别场,玩家002,1,负,52
2026-01-14,节日特别场,玩家038,1,负,52
2026-01-14,节日特别场,玩家020,1,负,52
2026-01-14,节日特别场,玩家026,1,负,52
2026-01-14,节日特别场,玩家044,1,胜,52
2026-01-14,节日特别场,玩家026,1,负,60
2026-01-14,节日特别场,玩家038,1,平,60
2026-01-14,节日特别场,玩家020,1,胜,60
2026-01-14,节日特别场,玩家044,1,胜,60
2026-01-14,节日特别场,玩家037,1,胜,60
2026-01-15,三国杀争霸,玩家023,2,负,31
2026-01-15,三国杀争霸,玩家024,2,负,31
2026-01-15,三国杀争霸,玩家035,2,胜,31
2026-01-15,三国杀争霸,玩家043,2,胜,31
2026-01-15,三国杀争霸,玩家028,2,负,31
2026-01-15,三国杀争霸,玩家023,4,平,36
2026-01-15,三国杀争霸,玩家035,4,平,36
2026-01-15,三国杀争霸,玩家043,4,胜,36
2026-01-15,三国杀争霸,玩家028,4,胜,36
2026-01-15,三国杀争霸,玩家024,4,胜,36
2026-01-15,三国杀争霸,玩家037,4,负,36
2026-01-15,三国杀争霸,玩家003,4,平,36
2026-01-15,策略桌游会,玩家028,5,胜,113
2026-01-15,策略桌游会,玩家031,5,负,113
2026-01-15,策略桌游会,玩家049,5,负,113
2026-01-15,策略桌游会,玩家021,5,胜,113
2026-01-15,策略桌游会,玩家018,5,负,113
2026-01-15,策略桌游会,玩家024,5,负,113
2026-01-15,策略桌游会,玩家040,5,胜,113
2026-01-15,策略桌游会,玩家040,1,平,118
2026-01-15,策略桌游会,玩家024,1,平,118
2026-01-15,策略桌游会,玩家035,1,平,118
2026-01-15,策略桌游会,玩家048,1,平,118
2026-01-15,策略桌游会,玩家021,1,胜,118
2026-01-15,策略桌游会,玩家042,1,平,118
2026-01-15,策略桌游会,玩家021,3,平,104
2026-01-15,策略桌游会,玩家046,3,平,104
2026-01-15,策略桌游会,玩家012,3,负,104
2026-01-15,策略桌游会,玩家040,3,胜,104
2026-01-15,策略桌游会,玩家035,3,平,104
2026-01-15,策略桌游会,玩家049,3,平,104
2026-01-15,策略桌游会,玩家034,3,胜,104
2026-01-15,策略桌游会,玩家028,3,胜,104
2026-01-15,策略桌游会,玩家049,2,负,62
2026-01-15,策略桌游会,玩家021,2,胜,62
2026-01-15,策略桌游会,玩家048,2,平,62
2026-01-15,策略桌游会,玩家030,2,胜,62
2026-01-15,策略桌游会,玩家041,2,平,62
2026-01-15,策略桌游会,玩家034,2,平,62
2026-01-15,策略桌游会,玩家028,2,负,62
2026-01-15,策略桌游会,玩家046,2,负,62
2026-01-15,策略桌游会,玩家045,2,胜,77
2026-01-15,策略桌游会,玩家021,2,负,77
2026-01-15,策略桌游会,玩家031,2,负,77
2026-01-15,策略桌游会,玩家018,2,负,77
2026-01-16,节日特别场,玩家018,4,平,91
2026-01-16,节日特别场,玩家001,4,胜,91
2026-01-16,节日特别场,玩家016,4,胜,91
2026-01-16,节日特别场,玩家022,4,平,91
2026-01-16,节日特别场,玩家013,5,胜,26
2026-01-16,节日特别场,玩家027,5,负,26
2026-01-16,节日特别场,玩家045,5,负,26
2026-01-16,节日特别场,玩家034,5,平,26
2026-01-16,节日特别场,玩家036,5,平,26
2026-01-16,节日特别场,玩家039,5,平,26
2026-01-16,周末欢乐局,玩家038,3,负,101
2026-01-16,周末欢乐局,玩家018,3,平,101
2026-01-16,周末欢乐局,玩家044,3,平,101
2026-01-16,周末欢乐局,玩家031,3,负,101
2026-01-16,周末欢乐局,玩家043,3,平,101
2026-01-16,周末欢乐局,玩家034,3,胜,101
2026-01-16,周末欢乐局,玩家024,3,胜,101
2026-01-16,周末欢乐局,玩家024,2,负,35
2026-01-16,周末欢乐局,玩家030,2,胜,35
2026-01-16,周末欢乐局,玩家023,2,负,35
2026-01-16,周末欢乐局,玩家038,2,胜,35
2026-01-16,周末欢乐局,玩家036,2,平,35
2026-01-16,周末欢乐局,玩家031,2,负,35
2026-01-16,周末欢乐局,玩家022,2,胜,35
2026-01-16,周末欢乐局,玩家044,4,负,118
2026-01-16,周末欢乐局,玩家018,4,负,118
2026-01-16,周末欢乐局,玩家022,4,平,118
2026-01-16,周末欢乐局,玩家038,4,平,118
2026-01-16,周末欢乐局,玩家028,5,平,75
2026-01-16,周末欢乐局,玩家043,5,负,75
2026-01-16,周末欢乐局,玩家046,5,平,75
2026-01-16,周末欢乐局,玩家030,5,胜,75
2026-01-16,周末欢乐局,玩家044,5,平,75
2026-01-16,周末欢乐局,玩家030,5,负,84
2026-01-16,周末欢乐局,玩家024,5,负,84
2026-01-16,周末欢乐局,玩家038,5,平,84
2026-01-16,周末欢乐局,玩家023,5,平,84
2026-01-16,周末欢乐局,玩家034,5,胜,84
2026-01-17,家庭桌游日,玩家001,4,平,109
2026-01-17,家庭桌游日,玩家004,4,平,109
2026-01-17,家庭桌游日,玩家049,4,负,109
2026-01-17,家庭桌游日,玩家032,4,平,109
2026-01-17,家庭桌游日,玩家003,4,平,109
2026-01-17,家庭桌游日,玩家028,4,负,109
2026-01-17,家庭桌游日,玩家024,5,平,110
2026-01-17,家庭桌游日,玩家028,5,胜,110
2026-01-17,家庭桌游日,玩家001,5,平,110
2026-01-17,家庭桌游日,玩家009,5,平,110
2026-01-17,家庭桌游日,玩家049,5,平,110
2026-01-17,家庭桌游日,玩家009,3,平,106
2026-01-17,家庭桌游日,玩家032,3,平,106
2026-01-17,家庭桌游日,玩家046,3,负,106
2026-01-17,家庭桌游日,玩家003,3,负,106
2026-01-17,家庭桌游日,玩家013,1,胜,54
2026-01-17,家庭桌游日,玩家039,1,负,54
2026-01-17,家庭桌游日,玩家018,1,平,54
2026-01-17,家庭桌游日,玩家049,1,负,54
2026-01-17,家庭桌游日,玩家019,1,胜,54
2026-01-17,家庭桌游日,玩家035,1,胜,54
2026-01-17,家庭桌游日,玩家048,1,平,54
2026-01-17,家庭桌游日,玩家028,1,负,54
2026-01-18,卡牌对战赛,玩家039,5,平,106
2026-01-18,卡牌对战赛,玩家040,5,平,106
2026-01-18,卡牌对战赛,玩家016,5,胜,106
2026-01-18,卡牌对战赛,玩家034,5,平,106
2026-01-18,卡牌对战赛,玩家036,5,平,120
2026-01-18,卡牌对战赛,玩家015,5,负,120
2026-01-18,卡牌对战赛,玩家027,5,平,120
2026-01-18,卡牌对战赛,玩家006,5,胜,120
2026-01-18,卡牌对战赛,玩家045,5,胜,120
2026-01-18,卡牌对战赛,玩家029,5,平,120
2026-01-18,卡牌对战赛,玩家044,5,负,120
2026-01-18,卡牌对战赛,玩家044,2,负,44
2026-01-18,卡牌对战赛,玩家040,2,负,44
2026-01-18,卡牌对战赛,玩家036,2,胜,44
2026-01-18,卡牌对战赛,玩家039,2,平,44
2026-01-18,卡牌对战赛,玩家015,2,胜,44
2026-01-18,卡牌对战赛,玩家025,2,胜,44
2026-01-18,卡牌对战赛,玩家045,2,胜,44
2026-01-18,卡牌对战赛,玩家034,2,平,44
2026-01-19,深夜桌游局,玩家016,1,负,94
2026-01-19,深夜桌游局,玩家027,1,胜,94
2026-01-19,深夜桌游局,玩家036,1,负,94
2026-01-19,深夜桌游局,玩家011,1,负,94
2026-01-19,深夜桌游局,玩家029,1,平,94
2026-01-19,深夜桌游局,玩家012,1,胜,94
2026-01-19,深夜桌游局,玩家039,1,胜,94
2026-01-19,深夜桌游局,玩家016,2,平,29
2026-01-19,深夜桌游局,玩家011,2,负,29
2026-01-19,深夜桌游局,玩家005,2,平,29
2026-01-19,深夜桌游局,玩家029,2,胜,29
2026-01-19,深夜桌游局,玩家001,2,胜,29
2026-01-19,深夜桌游局,玩家036,2,平,29
2026-01-19,深夜桌游局,玩家036,1,平,47
2026-01-19,深夜桌游局,玩家027,1,负,47
2026-01-19,深夜桌游局,玩家011,1,负,47
2026-01-19,深夜桌游局,玩家029,1,负,47
2026-01-19,深夜桌游局,玩家005,1,负,47
2026-01-19,深夜桌游局,玩家016,1,胜,47
2026-01-19,深夜桌游局,玩家012,1,平,47
2026-01-19,深夜桌游局,玩家001,1,平,47
2026-01-19,深夜桌游局,玩家016,4,平,25
2026-01-19,深夜桌游局,玩家012,4,负,25
2026-01-19,深夜桌游局,玩家001,4,负,25
2026-01-19,深夜桌游局,玩家036,4,胜,25
2026-01-19,深夜桌游局,玩家005,4,负,25
