日期,活动名,玩家,评分,反馈标签
2026-01-26,策略桌游会,玩家020,4.9,奖品丰富
2026-01-27,新手教学日,玩家017,3.1,体验极佳
2026-01-27,新手教学日,玩家011,4.2,规则复杂
2026-01-27,新手教学日,玩家030,4.0,等待时间长
2026-01-27,新手教学日,玩家035,4.2,体验极佳
2026-01-27,新手教学日,玩家012,4.8,等待时间长
2026-01-27,新手教学日,玩家006,2.7,等待时间长
2026-01-27,新手教学日,玩家027,3.8,规则复杂
2026-01-27,新手教学日,玩家043,3.6,奖品丰富
2026-01-27,新手教学日,玩家022,2.9,气氛热烈
2026-01-27,新手教学日,玩家010,3.3,场地舒适
2026-01-27,新手教学日,玩家015,4.6,气氛热烈
2026-01-27,新手教学日,玩家025,3.2,组织混乱
2026-01-27,新手教学日,玩家047,3.2,场地舒适
2026-01-27,周末欢乐局,玩家039,3.5,新手友好
2026-01-27,周末欢乐局,玩家004,4.8,体验极佳
2026-01-27,周末欢乐局,玩家050,4.6,规则复杂
2026-01-28,节日特别场,玩家012,3.3,时长合适
2026-01-28,节日特别场,玩家027,2.8,时长合适
2026-01-28,节日特别场,玩家019,4.7,等待时间长
2026-01-28,节日特别场,玩家021,3.5,规则复杂
2026-01-28,节日特别场,玩家013,2.8,组织混乱
2026-01-28,节日特别场,玩家048,3.0,体验极佳
2026-01-29,深夜桌游局,玩家019,3.1,组织混乱
2026-01-29,深夜桌游局,玩家005,3.5,新手友好
2026-01-29,深夜桌游局,玩家017,3.4,等待时间长
2026-01-29,深夜桌游局,玩家022,3.8,新手友好
2026-01-29,深夜桌游局,玩家010,2.8,组织混乱
2026-01-29,深夜桌游局,玩家031,4.1,组织混乱
2026-01-29,深夜桌游局,玩家015,2.9,时长合适
2026-01-30,桌游嘉年华,玩家036,4.4,规则复杂
2026-01-30,桌游嘉年华,玩家024,2.9,场地舒适
2026-01-30,桌游嘉年华,玩家031,4.9,新手友好
2026-01-30,桌游嘉年华,玩家021,2.8,组织混乱
2026-01-30,桌游嘉年华,玩家030,3.9,等待时间长
2026-01-30,桌游嘉年华,玩家040,3.3,奖品丰富
2026-01-30,桌游嘉年华,玩家049,3.8,奖品丰富
2026-01-30,桌游嘉年华,玩家044,2.8,气氛热烈
2026-01-30,桌游嘉年华,玩家002,4.5,等待时间长
2026-01-30,桌游嘉年华,玩家017,2.9,体验极佳
2026-01-30,桌游嘉年华,玩家005,2.5,场地舒适
2026-01-30,桌游嘉年华,玩家015,2.6,时长合适
2026-01-30,桌游嘉年华,玩家007,3.6,建议改进
2026-01-30,桌游嘉年华,玩家038,4.3,奖品丰富
2026-01-31,卡牌对战赛,玩家040,4.0,体验极佳
2026-01-31,卡牌对战赛,玩家007,3.0,新手友好
2026-01-31,卡牌对战赛,玩家032,4.4,新手友好
2026-01-31,卡牌对战赛,玩家027,5.0,场地舒适
2026-01-31,卡牌对战赛,玩家050,4.2,奖品丰富
2026-01-31,卡牌对战赛,玩家003,3.0,气氛热烈
2026-01-31,周末欢乐局,玩家002,4.8,奖品丰富
2026-01-31,周末欢乐局,玩家014,2.5,场地舒适
2026-01-31,周末欢乐局,玩家041,2.7,规则复杂
2026-01-31,周末欢乐局,玩家018,3.5,体验极佳
2026-01-31,周末欢乐局,玩家013,3.3,场地舒适
2026-01-31,周末欢乐局,玩家050,3.1,奖品丰富
2026-01-31,周末欢乐局,玩家016,3.7,体验极佳
2026-01-31,周末欢乐局,玩家039,3.6,规则复杂
2026-01-31,周末欢乐局,玩家004,3.3,新手友好
2026-01-31,周末欢乐局,玩家026,3.4,时长合适
2026-01-31,周末欢乐局,玩家043,4.3,场地舒适
2026-01-31,周末欢乐局,玩家006,3.3,规则复杂
2026-01-31,周末欢乐局,玩家030,3.0,规则复杂
2026-01-31,周末欢乐局,玩家008,2.6,时长合适
2026-02-01,策略桌游会,玩家043,2.8,等待时间长
2026-02-01,策略桌游会,玩家008,3.1,组织混乱
2026-02-01,策略桌游会,玩家012,3.4,新手友好
2026-02-01,策略桌游会,玩家001,2.8,规则复杂
2026-02-02,新手教学日,玩家034,4.0,气氛热烈
2026-02-02,新手教学日,玩家024,4.7,等待时间长
2026-02-02,新手教学日,玩家029,4.1,建议改进
2026-02-02,新手教学日,玩家031,2.8,建议改进
2026-02-02,新手教学日,玩家005,4.9,场地舒适
2026-02-02,新手教学日,玩家048,3.0,组织混乱
2026-02-02,新手教学日,玩家027,4.8,气氛热烈
2026-02-02,新手教学日,玩家008,4.9,建议改进
2026-02-03,策略桌游会,玩家032,3.9,新手友好
2026-02-03,策略桌游会,玩家039,4.7,体验极佳
2026-02-03,策略桌游会,玩家026,4.9,时长合适
2026-02-03,策略桌游会,玩家004,3.6,气氛热烈
2026-02-03,策略桌游会,玩家030,4.8,气氛热烈
2026-02-03,策略桌游会,玩家042,3.7,体验极佳
2026-02-03,策略桌游会,玩家002,4.8,体验极佳
2026-02-03,策略桌游会,玩家018,4.5,等待时间长
2026-02-04,周末欢乐局,玩家024,3.6,体验极佳
2026-02-04,周末欢乐局,玩家040,3.5,奖品丰富
2026-02-04,周末欢乐局,玩家043,3.5,新手友好
2026-02-04,周末欢乐局,玩家007,3.0,规则复杂
2026-02-04,周末欢乐局,玩家028,2.9,场地舒适
2026-02-04,周末欢乐局,玩家006,4.0,规则复杂
2026-02-04,周末欢乐局,玩家017,4.7,体验极佳
2026-02-04,周末欢乐局,玩家010,3.6,体验极佳
2026-02-04,周末欢乐局,玩家031,3.1,场地舒适
2026-02-04,周末欢乐局,玩家044,3.2,新手友好
2026-02-04,周末欢乐局,玩家005,3.9,等待时间长
2026-02-04,周末欢乐局,玩家041,3.1,体验极佳
2026-02-04,三国杀争霸,玩家014,3.2,规则复杂
2026-02-04,三国杀争霸,玩家023,4.1,场地舒适
2026-02-04,三国杀争霸,玩家050,5.0,场地舒适
2026-02-04,三国杀争霸,玩家037,3.8,规则复杂
2026-02-04,三国杀争霸,玩家024,4.1,建议改进
2026-02-04,三国杀争霸,玩家049,4.9,时长合适
2026-02-05,节日特别场,玩家037,2.8,建议改进
2026-02-05,节日特别场,玩家023,3.2,规则复杂
2026-02-05,节日特别场,玩家001,4.1,规则复杂
2026-02-06,新手教学日,玩家006,2.8,奖品丰富
2026-02-06,新手教学日,玩家004,4.9,新手友好
2026-02-06,新手教学日,玩家037,4.7,建议改进
2026-02-06,新手教学日,玩家021,3.9,组织混乱
2026-02-06,新手教学日,玩家022,3.1,新手友好
2026-02-06,新手教学日,玩家032,3.0,奖品丰富
2026-02-06,新手教学日,玩家049,2.9,场地舒适
2026-02-06,新手教学日,玩家010,4.3,奖品丰富
2026-02-06,家庭桌游日,玩家020,3.0,等待时间长
2026-02-06,家庭桌游日,玩家009,4.5,等待时间长
2026-02-06,家庭桌游日,玩家014,3.0,组织混乱
2026-02-06,家庭桌游日,玩家050,4.9,等待时间长
2026-02-07,家庭桌游日,玩家032,4.5,建议改进
2026-02-07,家庭桌游日,玩家048,3.0,等待时间长
2026-02-07,家庭桌游日,玩家012,2.7,场地舒适
2026-02-07,家庭桌游日,玩家028,3.6,奖品丰富
2026-02-07,桌游嘉年华,玩家019,3.4,规则复杂
2026-02-07,桌游嘉年华,玩家026,2.8,规则复杂
2026-02-07,桌游嘉年华,玩家036,4.4,规则复杂
2026-02-07,桌游嘉年华,玩家005,2.8,气氛热烈
2026-02-08,桌游嘉年华,玩家041,3.9,时长合适
2026-02-08,桌游嘉年华,玩家050,4.6,气氛热烈
2026-02-08,桌游嘉年华,玩家033,3.0,组织混乱
2026-02-08,桌游嘉年华,玩家034,4.4,组织混乱
2026-02-08,桌游嘉年华,玩家008,4.5,新手友好
2026-02-08,新手教学日,玩家041,2.6,规则复杂
2026-02-08,新手教学日,玩家039,2.8,新手友好
2026-02-08,新手教学日,玩家010,2.8,奖品丰富
2026-02-08,新手教学日,玩家013,2.9,场地舒适
2026-02-08,新手教学日,玩家042,2.6,奖品丰富
2026-02-08,新手教学日,玩家005,3.5,时长合适
2026-02-08,新手教学日,玩家038,4.1,场地舒适
2026-02-08,新手教学日,玩家032,4.8,奖品丰富
2026-02-09,节日特别场,玩家023,2.8,新手友好
2026-02-09,节日特别场,玩家020,3.4,建议改进
2026-02-09,节日特别场,玩家030,3.3,时长合适
2026-02-09,节日特别场,玩家005,4.8,气氛热烈
2026-02-09,节日特别场,玩家033,4.7,建议改进
2026-02-09,卡牌对战赛,玩家006,3.0,奖品丰富
2026-02-09,卡牌对战赛,玩家039,2.9,新手友好
2026-02-09,卡牌对战赛,玩家040,4.1,新手友好
2026-02-09,卡牌对战赛,玩家033,3.4,气氛热烈
2026-02-10,策略桌游会,玩家007,4.7,等待时间长
2026-02-10,策略桌游会,玩家004,4.4,等待时间长
2026-02-10,策略桌游会,玩家010,3.3,奖品丰富
2026-02-10,策略桌游会,玩家029,3.6,组织混乱
2026-02-10,策略桌游会,玩家022,4.5,气氛热烈
2026-02-10,策略桌游会,玩家021,3.9,新手友好
2026-02-10,策略桌游会,玩家006,2.9,时长合适
2026-02-10,新手教学日,玩家025,3.7,组织混乱
2026-02-10,新手教学日,玩家007,4.2,奖品丰富
2026-02-10,新手教学日,玩家039,4.0,时长合适
2026-02-10,新手教学日,玩家044,2.8,场地舒适
2026-02-10,新手教学日,玩家042,3.5,体验极佳
2026-02-11,深夜桌游局,玩家012,2.7,时长合适
2026-02-11,深夜桌游局,玩家050,2.5,规则复杂
2026-02-11,深夜桌游局,玩家020,3.4,组织混乱
2026-02-11,深夜桌游局,玩家043,4.9,气氛热烈
2026-02-11,深夜桌游局,玩家034,2.6,时长合适
2026-02-11,深夜桌游局,玩家022,3.4,等待时间长
2026-02-11,深夜桌游局,玩家028,3.2,等待时间长
2026-02-11,深夜桌游局,玩家024,4.6,体验极佳
2026-02-11,深夜桌游局,玩家002,4.9,奖品丰富
2026-02-11,深夜桌游局,玩家044,3.1,场地舒适
2026-02-12,三国杀争霸,玩家010,4.3,奖品丰富
2026-02-12,三国杀争霸,玩家039,4.3,奖品丰富
2026-02-12,三国杀争霸,玩家045,3.4,气氛热烈
2026-02-12,狼人杀之夜,玩家016,2.9,等待时间长
2026-02-12,狼人杀之夜,玩家011,3.7,等待时间长
2026-02-12,狼人杀之夜,玩家013,4.4,新手友好
2026-02-12,狼人杀之夜,玩家015,3.7,时长合适
2026-02-12,狼人杀之夜,玩家009,3.6,规则复杂
2026-02-12,狼人杀之夜,玩家045,3.2,等待时间长
2026-02-12,狼人杀之夜,玩家034,2.7,规则复杂
2026-02-12,狼人杀之夜,玩家035,4.0,等待时间长
2026-02-12,狼人杀之夜,玩家020,3.8,规则复杂
2026-02-12,狼人杀之夜,玩家019,3.5,奖品丰富
2026-02-12,狼人杀之夜,玩家027,4.2,组织混乱
2026-02-12,狼人杀之夜,玩家031,3.9,新手友好
2026-02-12,狼人杀之夜,玩家030,4.8,体验极佳
2026-02-13,桌游嘉年华,玩家016,4.9,等待时间长
2026-02-13,桌游嘉年华,玩家021,4.4,奖品丰富
2026-02-13,桌游嘉年华,玩家033,4.0,场地舒适
2026-02-13,桌游嘉年华,玩家026,3.5,体验极佳
2026-02-13,桌游嘉年华,玩家002,4.0,气氛热烈
2026-02-13,桌游嘉年华,玩家025,4.5,组织混乱
2026-02-13,桌游嘉年华,玩家024,3.7,奖品丰富
2026-02-14,卡牌对战赛,玩家008,3.4,时长合适
2026-02-14,卡牌对战赛,玩家016,2.6,新手友好
2026-02-14,卡牌对战赛,玩家027,2.9,气氛热烈
2026-02-14,卡牌对战赛,玩家041,2.7,建议改进
2026-02-14,卡牌对战赛,玩家004,2.5,新手友好
2026-02-14,卡牌对战赛,玩家050,3.0,场地舒适
2026-02-14,卡牌对战赛,玩家032,4.1,规则复杂
2026-02-14,卡牌对战赛,玩家005,3.1,气氛热烈
2026-02-14,卡牌对战赛,玩家048,4.9,建议改进
2026-02-15,卡牌对战赛,玩家035,3.3,新手友好
2026-02-15,卡牌对战赛,玩家043,2.5,时长合适
2026-02-15,卡牌对战赛,玩家033,4.4,奖品丰富
2026-02-16,节日特别场,玩家016,4.9,气氛热烈
2026-02-16,节日特别场,玩家005,3.3,体验极佳
2026-02-16,节日特别场,玩家047,2.8,等待时间长
2026-02-16,家庭桌游日,玩家012,4.0,规则复杂
2026-02-16,家庭桌游日,玩家042,3.2,等待时间长
2026-02-16,家庭桌游日,玩家035,4.2,气氛热烈
2026-02-17,深夜桌游局,玩家013,3.3,时长合适
2026-02-17,深夜桌游局,玩家020,4.1,奖品丰富
2026-02-17,深夜桌游局,玩家021,2.6,奖品丰富
2026-02-17,深夜桌游局,玩家017,3.1,建议改进
2026-02-17,深夜桌游局,玩家035,4.0,等待时间长
2026-02-17,深夜桌游局,玩家045,3.9,组织混乱
2026-02-17,深夜桌游局,玩家004,2.7,规则复杂
2026-02-17,深夜桌游局,玩家031,2.9,新手友好
2026-02-17,深夜桌游局,玩家033,3.9,气氛热烈
2026-02-17,深夜桌游局,玩家026,3.7,组织混乱
2026-02-17,深夜桌游局,玩家047,3.3,新手友好
2026-02-17,深夜桌游局,玩家050,2.9,新手友好
2026-02-17,深夜桌游局,玩家019,3.9,时长合适
2026-02-17,狼人杀之夜,玩家035,3.7,组织混乱
2026-02-17,狼人杀之夜,玩家007,4.9,组织混乱
2026-02-17,狼人杀之夜,玩家050,4.1,等待时间长
2026-02-17,狼人杀之夜,玩家028,4.8,建议改进
2026-02-18,深夜桌游局,玩家016,3.6,体验极佳
2026-02-18,深夜桌游局,玩家024,4.6,时长合适
2026-02-18,深夜桌游局,玩家025,3.4,奖品丰富
2026-02-18,深夜桌游局,玩家042,3.8,新手友好
2026-02-18,深夜桌游局,玩家048,4.7,规则复杂
2026-02-18,深夜桌游局,玩家037,4.1,规则复杂
2026-02-19,策略桌游会,玩家021,4.2,时长合适
2026-02-19,策略桌游会,玩家049,3.7,体验极佳
2026-02-19,策略桌游会,玩家034,4.8,组织混乱
2026-02-19,策略桌游会,玩家012,2.8,等待时间长
2026-02-19,策略桌游会,玩家005,4.3,奖品丰富
2026-02-19,策略桌游会,玩家046,4.4,场地舒适
